Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,,,
N.A.,20,905,905,Northern America,0,18096,13.1,19.2,0.71,,,
N.A.,20,906,906,Eastern Asia,0,42048,6.8,11.3,0.37,,,
N.A.,20,910,910,Eastern Africa,0,11747,7.1,6.1,0.37,,,
N.A.,20,911,911,Middle Africa,0,4456,7.2,5.7,0.38,,,
N.A.,20,912,912,Northern Africa,0,13703,13.7,15.4,0.73,,,
N.A.,20,913,913,Southern Africa,0,1912,6.1,7.8,0.33,,,
N.A.,20,914,914,Western Africa,0,11350,8.2,6.7,0.44,,,
N.A.,20,915,915,Caribbean,0,1768,10.6,13.4,0.56,,,
N.A.,20,916,916,Central America,0,6010,8,9.9,0.42,,,
N.A.,20,920,920,South-Eastern Asia,0,23109,8.4,10.9,0.45,,,
N.A.,20,921,921,South Central Asia,0,44266,5.3,6.5,0.28,,,
N.A.,20,922,922,Western Asia,0,10958,9.6,11.7,0.51,,,
N.A.,20,923,923,Eastern Europe,0,11911,10.2,17.4,0.55,,,
N.A.,20,924,924,Northern Europe,0,4675,12,18.3,0.65,,,
N.A.,20,925,925,Southern Europe,0,7543,15.8,25,0.85,,,
N.A.,20,926,926,Western Europe,0,10067,15.3,23.3,0.82,,,
N.A.,20,927,927,Australia-New Zealand,0,1601,13.3,20,0.73,,,
N.A.,20,928,928,Melanesia,0,446,10.6,10.6,0.57,,,
N.A.,20,931,931,South America,0,20354,11.3,15.4,0.6,,,
N.A.,20,954,954,Micronesia,0,9,4.5,4.9,0.25,,,
N.A.,20,957,957,Polynesia,0,31,12.4,13.9,0.68,,,
,,,,Total,,246060,8.1,10.3,0.44,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,UN Regions,"Incidence, ASR(World)",,,Mortality ASR (World),,
,,,,,,,[0-39],[40-85+],[0-85+],[0-39],[40-85+],[0-85+]
,,,,,,Northern America,13.1,269.3,95.1,1,36.4,12.3
,,,,,,Eastern Asia,6.8,102.9,37.5,0.62,19.1,6.5
,,,,,,Eastern Africa,7.1,84.7,31.9,3.3,48.1,17.6
,,,,,,Middle Africa,7.2,78.3,30,3.3,45.5,16.8
,,,,,,Northern Africa,13.7,137.1,53.2,3.5,51.9,19
,,,,,,Southern Africa,6.1,131.3,46.2,1.7,48.1,16.6
,,,,,,Western Africa,8.2,112.7,41.6,3.7,61.7,22.3
,,,,,,Caribbean,10.6,132.5,49.6,2.4,51.7,18.2
,,,,,,Central America,8,102.7,38.3,1.1,29.1,10.1
,,,,,,South-Eastern Asia,8.4,112.6,41.7,1.7,42.8,14.9
,,,,,,South Central Asia,5.3,72.2,26.7,1.4,38.9,13.4
,,,,,,Western Asia,9.6,121.6,45.4,2.2,42.6,15.1
,,,,,,Eastern Europe,10.2,160.5,58.3,1.2,42.7,14.4
,,,,,,Northern Europe,12,258.2,90.8,1,40.6,13.7
,,,,,,Southern Europe,15.8,221.9,81.8,1,41,13.8
,,,,,,Western Europe,15.3,248.2,89.8,1.2,45.5,15.4
,,,,,,Australia-New Zealand,13.3,285.1,100.3,0.88,38.1,12.8
,,,,,,Melanesia,10.6,131.4,49.2,4.3,74.6,26.8
,,,,,,South America,11.3,154.6,57.2,1.5,39.9,13.8
,,,,,,Micronesia,4.5,127.7,43.9,0,52.3,16.7
,,,,,,Polynesia,12.4,213.9,76.9,2.3,74,25.3
,,,,,,Total,8.1,129.1,46.8,1.6,36.1,12.7